target_angle,measured_angle
135.0,134.21076711910936
135.5,134.64999237456155
136.0,135.08921763001374
136.5,135.9676681409181
137.0,136.4068933963703
137.5,136.84611865182248
138.0,137.28534390727467
138.5,137.72456916272685
139.0,138.16379441817904
139.5,138.60301967363122
140.0,139.4814701845356
140.5,139.92069543998778
141.0,140.35992069544
141.5,140.79914595089218
142.0,141.23837120634437
142.5,141.67759646179655
143.0,142.11682171724874
143.5,142.9952722281531
144.0,143.4344974836053
144.5,143.87372273905748
145.0,144.3129479945097
145.5,144.75217324996188
146.0,145.19139850541407
146.5,145.63062376086626
147.0,146.06984901631844
147.5,146.94829952722282
148.0,147.387524782675
148.5,147.8267500381272
149.0,148.2659752935794
149.5,148.7052005490316
150.0,149.14442580448377
150.5,149.58365105993596
151.0,150.4621015708403
151.5,150.9013268262925
152.0,151.3405520817447
152.5,151.7797773371969
153.0,152.21900259264908
153.5,152.65822784810126
154.0,153.09745310355345
154.5,153.97590361445782
155.0,154.41512886991
155.5,154.8543541253622
156.0,155.2935793808144
156.5,155.7328046362666
157.0,156.17202989171878
157.5,156.61125514717097
158.0,157.48970565807534
158.5,157.92893091352752
159.0,158.3681561689797
159.5,158.8073814244319
160.0,159.2466066798841
160.5,159.6858319353363
161.0,160.12505719078848
161.5,160.56428244624067
162.0,161.44273295714504
162.5,161.88195821259723
163.0,162.3211834680494
163.5,162.7604087235016
164.0,163.1996339789538
164.5,163.63885923440597
165.0,164.07808448985816
165.5,164.95653500076253
166.0,165.39576025621471
166.5,165.8349855116669
167.0,166.27421076711911
167.5,166.7134360225713
168.0,167.1526612780235
168.5,167.59188653347567
169.0,168.47033704438005
169.5,168.90956229983223
170.0,169.34878755528442
170.5,169.7880128107366
171.0,170.22723806618882
171.5,170.666463321641
172.0,171.1056885770932
172.5,171.98413908799756
173.0,172.42336434344975
173.5,172.86258959890193
174.0,173.30181485435412
174.5,173.7410401098063
175.0,174.18026536525852
175.5,174.6194906207107
176.0,175.49794113161508
176.5,175.93716638706726
177.0,176.37639164251945
177.5,176.81561689797164
178.0,177.25484215342382
178.5,177.694067408876
179.0,178.1332926643282
179.5,178.57251791978038
180.0,179.45096843068475
0.1,179.89019368613694
0.6,-0.19216104926033248
1.1,0.24706420619185604
1.6,0.6862894616440446
2.1,1.5647399725484217
2.6,2.00396522800061
3.1,2.443190483452798
3.6,2.882415738904987
4.1,3.3216409943571756
4.6,3.760866249809364
5.1,4.200091505261552
5.6,5.07854201616593
6.1,5.517767271618118
6.6,5.956992527070307
7.1,6.396217782522495
7.6,6.8354430379746836
8.1,7.274668293426871
8.6,7.713893548879061
9.1,8.592344059783438
9.6,9.031569315235625
10.1,9.470794570687815
10.6,9.910019826140003
11.1,10.349245081592192
11.6,10.78847033704438
12.1,11.22769559249657
12.6,11.666920847948758
13.1,12.545371358853133
13.6,12.984596614305323
14.1,13.42382186975751
14.6,13.863047125209699
15.1,14.302272380661888
15.6,14.741497636114078
16.1,15.180722891566264
16.6,16.05917340247064
17.1,16.49839865792283
17.6,16.937623913375017
18.1,17.376849168827206
18.6,17.816074424279396
19.1,18.255299679731586
19.6,18.69452493518377
20.1,19.57297544608815
20.6,20.01220070154034
21.1,20.451425956992527
21.6,20.890651212444716
22.1,21.329876467896906
22.6,21.76910172334909
23.1,22.20832697880128
23.6,23.08677748970566
24.1,23.526002745157847
24.6,23.965228000610036
25.1,24.404453256062222
25.6,24.843678511514412
26.1,25.282903766966598
26.6,25.722129022418788
27.1,26.161354277870977
27.6,27.039804788775356
28.1,27.479030044227546
28.6,27.91825529967973
29.1,28.357480555131918
29.6,28.796705810584108
30.1,29.235931066036297
30.6,29.675156321488487
31.1,30.553606832392866
31.6,30.99283208784505
32.1,31.432057343297238
32.6,31.871282598749428
33.1,32.31050785420162
33.6,32.7497331096538
34.1,33.188958365106
34.6,34.067408876010376
35.1,34.506634131462555
35.6,34.94585938691475
36.1,35.385084642366934
36.6,35.82430989781913
37.1,36.26353515327131
37.6,36.702760408723506
38.1,37.58121091962788
38.6,38.020436175080064
39.1,38.45966143053226
39.6,38.89888668598444
40.1,39.33811194143663
40.6,39.77733719688882
41.1,40.21656245234101
41.6,41.09501296324538
42.1,41.534238218697574
42.6,41.97346347414976
43.1,42.41268872960195
43.6,42.85191398505414
44.1,43.29113924050633
44.6,43.73036449595852
45.1,44.16958975141071
45.6,45.048040262315084
46.1,45.48726551776728
46.6,45.92649077321946
47.1,46.36571602867164
47.6,46.804941284123835
48.1,47.24416653957602
48.6,47.683391795028214
49.1,48.561842305932586
49.6,49.00106756138478
50.1,49.440292816836966
50.6,49.87951807228916
51.1,50.318743327741345
51.6,50.75796858319354
52.1,51.197193838645724
52.6,52.0756443495501
53.1,52.51486960500229
53.6,52.95409486045447
54.1,53.39332011590666
